time,ch1,ch2,ch3,ch4
15.08.2017 19:56:59.359,16,-14,180,32
15.08.2017 19:56:59.609,16,-1,-80,8
15.08.2017 19:57:00.109,-9,-32,147,20
15.08.2017 19:57:00.359,-6,-26,-21,-4
15.08.2017 19:57:00.609,5,10,-290,6
15.08.2017 19:57:00.984,-10,60,21,24
15.08.2017 19:57:01.234,-5,-22,-294,41
15.08.2017 19:57:01.484,-28,-8,81,48
15.08.2017 19:57:01.734,-17,-21,73,27
15.08.2017 19:57:01.984,-6,-35,-311,41
15.08.2017 19:57:02.234,-17,-19,-6,25
15.08.2017 19:57:02.484,-4,5,120,16
15.08.2017 19:57:02.734,-18,-38,-288,44
15.08.2017 19:57:02.984,-20,-30,-96,32
15.08.2017 19:57:03.234,-6,-12,165,29
15.08.2017 19:57:03.484,-6,-8,-193,14
